category_1,category_2,category_3,category_4,promotion,label
1,1,1,1,96,1
1,1,1,1,10,1
1,1,1,1,68,0
1,1,1,1,73,0
1,1,1,1,93,1
1,1,1,1,27,0
1,1,1,1,17,0
1,1,1,1,33,0
1,1,1,1,25,1
1,1,1,1,73,0
1,1,1,1,38,0
1,1,1,1,24,0
1,1,1,1,74,0
1,1,1,1,41,0
1,1,1,1,79,0
1,1,1,1,83,0
1,1,1,1,91,0
1,1,1,1,90,0
1,1,1,1,14,0
1,1,1,1,82,0
1,1,1,1,71,1
1,1,1,1,47,1
1,1,1,1,59,0
1,1,1,1,40,1
1,1,1,1,65,1
1,1,1,1,71,0
1,1,1,1,23,0
1,1,1,1,30,0
1,1,1,1,81,0
1,1,1,1,88,0
1,1,1,1,83,0
1,1,1,1,67,1
1,1,1,1,39,0
1,1,1,1,20,1
1,1,1,1,29,1
1,1,1,1,85,1
1,1,1,1,66,1
1,1,1,1,81,1
1,1,1,1,54,0
1,1,1,1,42,0
1,1,1,1,7,0
1,1,1,1,79,0
1,1,1,1,75,0
1,1,1,1,32,0
1,1,1,1,9,0
1,1,1,1,71,1
1,1,1,1,62,1
1,1,1,1,2,0
1,1,1,1,45,0
1,1,1,1,98,0
1,1,1,1,24,0
1,1,1,1,14,0
1,1,1,1,94,1
1,1,1,1,18,0
1,1,1,1,89,0
1,1,1,1,98,0
1,1,1,1,31,0
1,1,1,1,7,1
1,1,1,1,11,0
1,1,1,1,100,0
1,1,1,1,91,0
1,1,1,1,87,0
1,1,1,1,18,1
1,1,1,1,28,1
1,1,1,1,28,1
1,1,1,1,50,0
1,1,1,1,12,1
1,1,1,1,78,1
1,1,1,1,33,1
1,1,1,1,83,1
1,1,1,1,46,1
1,1,1,1,51,0
1,1,1,1,14,1
1,1,1,1,13,0
1,1,1,1,71,0
1,1,1,1,88,0
1,1,1,1,79,1
1,1,1,1,20,0
1,1,1,1,5,0
1,1,1,1,40,1
1,1,1,1,68,1
1,1,1,1,29,0
1,1,1,1,40,0
1,1,1,1,9,0
1,1,1,1,49,0
1,1,1,1,77,1
1,1,1,1,91,0
1,1,1,1,54,0
1,1,1,1,26,1
1,1,1,1,93,0
1,1,1,1,10,0
1,1,1,1,67,0
1,1,1,1,26,0
1,1,1,1,69,1
1,1,1,1,43,0
1,1,1,1,51,1
1,1,1,1,13,0
1,1,1,1,90,1
